"Air Quality Statistics by County, 2020",,,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 5, 2021.",,,,,,,,,,,,
State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
New Jersey,Union County,34039,536499,2,ND,18,55,ND,ND,8.5,20,4
New Jersey,Warren County,34041,108692,ND,ND,10,37,0.054,ND,7.2,18,6
New Mexico,Bernalillo County,35001,662564,1,ND,8,41,0.071,349,9.4,25,3
New Mexico,Chaves County,35005,65645,ND,ND,ND,ND,ND,ND,IN,IN,ND
New Mexico,Doña Ana County,35013,209233,ND,ND,8,49,0.077,367,9,21,ND
New Mexico,Eddy County,35015,53829,ND,ND,5,IN,0.073,ND,ND,ND,ND
New Mexico,Grant County,35017,29514,ND,ND,ND,ND,ND,ND,IN,IN,ND
New Mexico,Lea County,35025,64727,ND,ND,5,32,0.06,ND,5.6,18,ND
New Mexico,Luna County,35029,25095,ND,ND,ND,ND,ND,126,ND,ND,ND
New Mexico,Rio Arriba County,35039,40246,ND,ND,ND,ND,0.064,ND,ND,ND,ND
New Mexico,Sandoval County,35043,131561,ND,ND,ND,ND,0.074,ND,IN,IN,ND
New Mexico,San Juan County,35045,130044,ND,ND,10,29,0.069,91,IN,IN,13
New Mexico,Santa Fe County,35049,144170,ND,ND,ND,ND,0.069,ND,4.5,13,ND
New Mexico,Taos County,35055,32937,ND,ND,ND,ND,ND,ND,5.8,16,ND
New Mexico,Valencia County,35061,76569,ND,ND,ND,ND,0.07,ND,ND,ND,ND
New York,Albany County,36001,304204,ND,ND,ND,ND,0.053,ND,7.8,23,2
New York,Bronx County,36005,1385108,1,ND,15,53,0.069,IN,8,20,4
New York,Broome County,36007,200600,ND,ND,ND,ND,ND,ND,IN,IN,ND
New York,Chautauqua County,36013,134905,ND,ND,ND,ND,0.064,ND,5.2,12,3
New York,Dutchess County,36027,297488,ND,ND,ND,ND,0.059,ND,IN,IN,1
New York,Erie County,36029,919040,1,ND,8,40,0.066,27,6.8,19,16
New York,Essex County,36031,39370,ND,ND,ND,ND,0.059,ND,3.2,9,1
New York,Hamilton County,36041,4836,ND,ND,ND,ND,0.054,ND,ND,ND,1
New York,Jefferson County,36045,116229,ND,ND,ND,ND,0.06,ND,ND,ND,ND
New York,Kings County,36047,2504700,ND,ND,ND,ND,ND,ND,IN,IN,ND
New York,Monroe County,36055,744344,1,ND,6,IN,0.061,25,6.3,15,2
New York,Nassau County,36059,1339532,ND,ND,ND,ND,ND,ND,IN,IN,14
New York,New York County,36061,1585873,1,ND,ND,ND,0.069,IN,IN,IN,ND
New York,Niagara County,36063,216469,ND,ND,ND,ND,0.064,ND,IN,IN,ND
New York,Oneida County,36065,234878,ND,ND,ND,ND,ND,ND,IN,IN,ND
New York,Onondaga County,36067,467026,ND,ND,ND,ND,0.058,ND,6,14,1
New York,Orange County,36071,372813,ND,ND,ND,ND,0.059,ND,IN,IN,ND
New York,Oswego County,36075,122109,ND,ND,ND,ND,0.056,ND,ND,ND,ND
New York,Putnam County,36079,99710,ND,ND,ND,ND,0.058,ND,ND,ND,1
New York,Queens County,36081,2230722,2,ND,15,54,0.068,26,5.8,16,6
New York,Richmond County,36085,468730,ND,ND,ND,ND,0.062,ND,IN,IN,ND
New York,Rockland County,36087,311687,ND,ND,ND,ND,0.061,ND,ND,ND,ND
New York,St. Lawrence County,36089,111944,ND,ND,ND,ND,ND,ND,IN,IN,89
New York,Saratoga County,36091,219607,ND,ND,ND,ND,0.055,ND,ND,ND,ND
New York,Schenectady County,36093,154727,ND,ND,ND,ND,ND,ND,IN,IN,ND
New York,Steuben County,36101,98990,0,ND,ND,ND,0.053,ND,5.2,12,1
New York,Suffolk County,36103,1493350,ND,ND,ND,ND,0.073,ND,IN,IN,2
New York,Tompkins County,36109,101564,ND,ND,ND,ND,0.055,ND,ND,ND,ND
New York,Wayne County,36117,93772,ND,ND,ND,ND,0.06,ND,ND,ND,ND
New York,Westchester County,36119,949113,ND,ND,ND,ND,0.067,ND,IN,IN,ND
North Carolina,Alamance County,37001,151131,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Alexander County,37003,37198,ND,ND,ND,ND,0.053,54,ND,ND,ND
North Carolina,Avery County,37011,17797,ND,ND,ND,ND,0.059,ND,ND,ND,ND
North Carolina,Beaufort County,37013,47759,ND,ND,ND,ND,ND,ND,ND,ND,15
North Carolina,Brunswick County,37019,107431,ND,ND,ND,ND,ND,ND,ND,ND,46
North Carolina,Buncombe County,37021,238318,ND,ND,ND,ND,0.054,ND,4.9,12,IN
North Carolina,Cabarrus County,37025,178011,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Caldwell County,37027,83029,ND,ND,ND,ND,0.052,ND,ND,ND,IN
North Carolina,Carteret County,37031,66469,ND,ND,ND,ND,0.054,ND,ND,ND,ND
North Carolina,Caswell County,37033,23719,ND,ND,ND,ND,0.055,38,IN,IN,ND
North Carolina,Catawba County,37035,154358,ND,ND,ND,ND,ND,ND,7.6,17,ND
North Carolina,Chatham County,37037,63505,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Cumberland County,37051,319431,ND,ND,ND,ND,0.055,53,6.8,17,ND
North Carolina,Davidson County,37057,162878,ND,ND,ND,ND,ND,ND,8.2,19,ND
North Carolina,Duplin County,37061,58505,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Durham County,37063,267587,ND,ND,ND,ND,0.053,29,7.1,18,2
North Carolina,Edgecombe County,37065,56552,ND,ND,ND,ND,0.054,ND,IN,IN,ND
North Carolina,Forsyth County,37067,350670,ND,ND,5,30,0.062,60,8,26,3
North Carolina,Gaston County,37071,206086,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Graham County,37075,8861,ND,ND,ND,ND,0.06,ND,ND,ND,ND
North Carolina,Granville County,37077,59916,ND,ND,ND,ND,0.054,ND,ND,ND,ND
North Carolina,Guilford County,37081,488406,ND,ND,ND,ND,0.057,37,6.4,15,ND
North Carolina,Haywood County,37087,59036,ND,ND,ND,ND,0.06,ND,IN,IN,22
North Carolina,Jackson County,37099,40271,ND,ND,ND,ND,ND,ND,6.2,14,ND
North Carolina,Johnston County,37101,168878,ND,ND,ND,ND,0.055,ND,6.6,17,ND
North Carolina,Lee County,37105,57866,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Lenoir County,37107,59495,ND,ND,ND,ND,0.056,12,IN,IN,ND
North Carolina,Lincoln County,37109,78265,ND,ND,ND,ND,0.054,ND,ND,ND,ND
North Carolina,McDowell County,37111,44996,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Macon County,37113,33922,ND,ND,ND,ND,0.052,ND,ND,ND,ND
North Carolina,Martin County,37117,24505,ND,ND,ND,ND,0.049,ND,IN,IN,IN
North Carolina,Mecklenburg County,37119,919628,1,ND,9,32,0.06,49,8.4,18,2
North Carolina,Mitchell County,37121,15579,ND,ND,ND,ND,ND,ND,5.2,12,ND
North Carolina,Montgomery County,37123,27798,ND,ND,ND,ND,0.052,18,7.6,14,ND
North Carolina,Nash County,37127,95840,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,New Hanover County,37129,202667,ND,ND,ND,ND,0.054,24,3.7,13,ND
North Carolina,Northampton County,37131,22099,ND,ND,1,12,ND,ND,IN,IN,ND
North Carolina,Onslow County,37133,177772,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Orange County,37135,133801,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Pasquotank County,37139,40661,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Person County,37145,39464,ND,ND,ND,ND,0.051,ND,ND,ND,44
North Carolina,Pitt County,37147,168148,ND,ND,ND,ND,0.055,ND,5.7,13,ND
North Carolina,Robeson County,37155,134168,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Rockingham County,37157,93643,ND,ND,ND,ND,0.055,ND,ND,ND,IN
North Carolina,Rowan County,37159,138428,ND,ND,IN,IN,0.058,ND,7.6,18,ND
North Carolina,Swain County,37173,13981,ND,ND,ND,ND,0.054,ND,6.1,15,ND
North Carolina,Union County,37179,201292,ND,ND,ND,ND,0.051,ND,ND,ND,ND
North Carolina,Wake County,37183,900993,1,ND,8,30,0.054,46,7.8,20,2
North Carolina,Watauga County,37189,51079,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Wayne County,37191,122623,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Carolina,Yancey County,37199,17818,ND,ND,ND,ND,0.063,ND,ND,ND,ND
North Dakota,Billings County,38007,783,ND,ND,ND,ND,0.053,ND,3.6,12,5
North Dakota,Burke County,38013,1968,ND,ND,2,IN,0.053,49,4.9,13,20
North Dakota,Burleigh County,38015,81308,1,ND,5,28,0.051,64,5.3,15,11
North Dakota,Cass County,38017,149778,ND,ND,4,34,0.056,33,6.4,14,3
North Dakota,Dunn County,38025,3536,ND,ND,2,10,0.054,20,3.6,10,5
North Dakota,Grand Forks County,38035,66861,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Dakota,McKenzie County,38053,6360,ND,ND,1,8,0.051,24,3.4,12,4
North Dakota,Mercer County,38057,8424,ND,ND,2,18,0.052,ND,4.5,11,43
North Dakota,Oliver County,38065,1846,ND,ND,2,IN,0.055,38,4.8,13,11
North Dakota,Stark County,38089,24199,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Dakota,Steele County,38091,1975,ND,ND,ND,ND,ND,ND,IN,IN,ND
North Dakota,Ward County,38101,61675,ND,ND,2,14,0.051,15,4.6,12,8
North Dakota,Williams County,38105,22398,ND,ND,ND,ND,ND,ND,IN,IN,6
Ohio,Adams County,39001,28550,ND,ND,ND,ND,ND,ND,ND,ND,IN
Ohio,Allen County,39003,106331,ND,ND,ND,ND,0.065,ND,5.4,13,3
Ohio,Ashtabula County,39007,101497,ND,ND,ND,ND,0.061,ND,ND,ND,IN
Ohio,Athens County,39009,64757,ND,ND,ND,ND,ND,ND,IN,IN,ND
Ohio,Belmont County,39013,70400,IN,ND,6,26,ND,54,IN,IN,1
Ohio,Butler County,39017,368130,ND,ND,ND,ND,0.07,38,IN,IN,41
Ohio,Clark County,39023,138333,ND,ND,ND,ND,0.066,ND,IN,IN,IN
Ohio,Clermont County,39025,197363,ND,ND,ND,ND,0.064,ND,IN,IN,ND
Ohio,Clinton County,39027,42040,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Ohio,Columbiana County,39029,107841,ND,IN,ND,ND,ND,30,ND,ND,3
Ohio,Cuyahoga County,39035,1280122,2,0.05,8,36,0.074,73,9,22,19
Ohio,Delaware County,39041,174214,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Ohio,Fayette County,39047,29030,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Ohio,Franklin County,39049,1163414,1,ND,8,39,0.067,28,7.8,18,IN
Ohio,Fulton County,39051,42698,ND,IN,ND,ND,ND,ND,ND,ND,ND
Ohio,Gallia County,39053,30934,ND,ND,ND,ND,ND,ND,ND,ND,58
Ohio,Geauga County,39055,93389,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Ohio,Greene County,39057,161573,ND,ND,ND,ND,0.063,ND,IN,IN,ND
Ohio,Guernsey County,39059,40087,ND,ND,ND,ND,ND,ND,ND,ND,IN
Ohio,Hamilton County,39061,802374,2,ND,17,49,0.07,48,10.7,25,28
Ohio,Hancock County,39063,74782,ND,ND,ND,ND,ND,ND,ND,ND,IN
Ohio,Harrison County,39067,15864,1,ND,ND,ND,ND,IN,IN,IN,ND
Ohio,Jefferson County,39081,69709,ND,ND,ND,ND,0.062,37,IN,IN,22
Ohio,Knox County,39083,60921,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Ohio,Lake County,39085,230041,ND,ND,ND,ND,0.075,64,6.2,16,80
Ohio,Lawrence County,39087,62450,ND,ND,ND,ND,0.057,30,IN,IN,3
Ohio,Licking County,39089,166492,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Ohio,Lorain County,39093,301356,ND,ND,ND,ND,0.059,17,6.7,15,ND
Ohio,Lucas County,39095,441815,ND,ND,ND,ND,0.076,ND,IN,IN,IN
Ohio,Madison County,39097,43435,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Ohio,Mahoning County,39099,238823,ND,ND,ND,ND,0.064,ND,IN,IN,6
Ohio,Marion County,39101,66501,ND,IN,ND,ND,ND,ND,ND,ND,ND
Ohio,Medina County,39103,172332,ND,ND,ND,ND,0.064,ND,6.5,16,ND
Ohio,Miami County,39109,102506,ND,ND,ND,ND,0.061,ND,ND,ND,ND
Ohio,Montgomery County,39113,535153,ND,ND,ND,ND,0.071,48,9.6,20,ND
Ohio,Morgan County,39115,15054,ND,ND,ND,ND,ND,ND,ND,ND,13
Ohio,Noble County,39121,14645,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Ohio,Portage County,39133,161419,ND,ND,ND,ND,0.063,ND,IN,IN,ND
Ohio,Preble County,39135,42270,0,ND,ND,ND,0.062,ND,7.4,16,7
Ohio,Scioto County,39145,79499,ND,ND,ND,ND,ND,41,IN,IN,13
Ohio,Stark County,39151,375586,ND,0.13,ND,ND,0.066,ND,8.7,20,ND
Ohio,Summit County,39153,541781,ND,ND,ND,ND,0.062,ND,8.8,19,4
Ohio,Trumbull County,39155,210312,ND,ND,ND,ND,0.062,28,6.2,18,ND
Ohio,Warren County,39165,212693,ND,ND,ND,ND,0.071,ND,IN,IN,ND
Ohio,Washington County,39167,61778,ND,IN,ND,ND,0.059,ND,ND,ND,ND
Ohio,Wood County,39173,125488,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Oklahoma,Adair County,40001,22683,1,ND,ND,ND,0.053,77,IN,IN,2
Oklahoma,Caddo County,40015,29600,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Canadian County,40017,115541,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Oklahoma,Carter County,40019,47557,ND,ND,ND,ND,0.067,ND,IN,IN,ND
Oklahoma,Cherokee County,40021,46987,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Cleveland County,40027,255755,ND,ND,ND,ND,0.063,ND,9.9,25,ND
Oklahoma,Comanche County,40031,124098,ND,ND,ND,ND,0.064,ND,7.4,19,ND
Oklahoma,Creek County,40037,69967,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Oklahoma,Custer County,40039,27469,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Dewey County,40043,4810,ND,ND,ND,ND,0.061,ND,7.3,17,ND
Oklahoma,Garfield County,40047,60580,ND,ND,ND,ND,ND,ND,IN,IN,32
Oklahoma,Johnston County,40069,10957,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Oklahoma,Kay County,40071,46562,ND,ND,ND,ND,0.056,ND,9.4,21,23
Oklahoma,Le Flore County,40079,50384,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Lincoln County,40081,34273,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Love County,40085,9423,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Mayes County,40097,41259,ND,ND,ND,ND,0.054,ND,IN,IN,IN
Oklahoma,Muskogee County,40101,70990,ND,ND,ND,ND,ND,ND,IN,IN,IN
Oklahoma,Nowata County,40105,10536,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Oklahoma County,40109,718633,1,ND,11,39,0.069,120,9.9,22,2
Oklahoma,Osage County,40113,47472,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Oklahoma,Ottawa County,40115,31848,ND,0.02,ND,ND,0.046,107,IN,IN,ND
Oklahoma,Pawnee County,40117,16577,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Payne County,40119,77350,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Pittsburg County,40121,45837,ND,0.01,ND,ND,0.057,ND,8.2,22,ND
Oklahoma,Pottawatomie County,40125,69442,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Seminole County,40133,25482,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oklahoma,Sequoyah County,40135,42391,ND,ND,5,26,0.053,ND,7.2,20,ND
Oklahoma,Tulsa County,40143,603403,1,ND,6,IN,0.061,96,8.9,20,7
Oklahoma,Washington County,40147,50976,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Oregon,Benton County,41003,85579,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oregon,Clackamas County,41005,375992,ND,ND,ND,ND,0.07,ND,ND,ND,ND
Oregon,Columbia County,41009,49351,ND,ND,ND,ND,0.051,ND,IN,IN,ND
Oregon,Crook County,41013,20978,ND,ND,ND,ND,ND,ND,16.4,132,ND
Oregon,Deschutes County,41017,157733,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oregon,Douglas County,41019,107667,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oregon,Harney County,41025,7422,ND,ND,ND,ND,ND,ND,11.9,61,ND
Oregon,Jackson County,41029,203206,ND,ND,ND,ND,0.06,46,15.5,63,ND
Oregon,Josephine County,41033,82713,ND,ND,ND,ND,ND,ND,14.5,29,ND
Oregon,Klamath County,41035,66380,ND,ND,ND,ND,ND,488,19.8,88,ND
Oregon,Lake County,41037,7895,ND,ND,ND,ND,ND,247,IN,36,ND
Oregon,Lane County,41039,351715,ND,ND,ND,ND,0.055,579,14.9,240,ND
Oregon,Linn County,41043,116672,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oregon,Marion County,41047,315335,ND,ND,ND,ND,0.057,ND,IN,IN,ND
Oregon,Multnomah County,41051,735334,14,ND,6,30,0.059,35,10.7,31,2
Oregon,Umatilla County,41059,75889,ND,ND,ND,ND,0.056,ND,IN,IN,ND
Oregon,Union County,41061,25748,ND,ND,ND,ND,ND,39,IN,IN,ND
Oregon,Wasco County,41065,25213,ND,ND,ND,ND,ND,ND,IN,IN,ND
Oregon,Washington County,41067,529710,13,ND,10,30,0.059,ND,11.2,30,ND
Pennsylvania,Adams County,42001,101407,0,ND,2,12,0.061,ND,IN,IN,2
Pennsylvania,Allegheny County,42003,1223348,3,ND,9,34,0.071,72,9.8,27,65
Pennsylvania,Armstrong County,42005,68941,ND,ND,ND,ND,0.07,ND,7.8,16,ND
Pennsylvania,Beaver County,42007,170539,ND,0,8,36,0.067,56,8.5,24,10
Pennsylvania,Berks County,42011,411442,ND,0.03,ND,ND,0.065,ND,7.9,19,IN
Pennsylvania,Blair County,42013,127089,ND,ND,ND,ND,0.063,ND,7.7,19,4
Pennsylvania,Bradford County,42015,62622,ND,ND,2,16,0.054,ND,6.6,16,ND
Pennsylvania,Bucks County,42017,625249,ND,ND,ND,ND,0.071,ND,IN,IN,ND
Pennsylvania,Cambria County,42021,143679,1,ND,6,31,0.06,40,8.5,21,8
Pennsylvania,Carbon County,42025,65249,ND,0.06,ND,ND,ND,ND,ND,ND,ND
Pennsylvania,Centre County,42027,153990,ND,ND,3,26,0.059,ND,7.2,19,2
Pennsylvania,Chester County,42029,498886,ND,ND,ND,ND,0.06,ND,8.3,20,ND
Pennsylvania,Clearfield County,42033,81642,ND,ND,ND,ND,0.053,ND,ND,ND,ND
Pennsylvania,Cumberland County,42041,235406,ND,ND,ND,ND,ND,ND,7.5,21,ND
Pennsylvania,Dauphin County,42043,268100,ND,ND,ND,ND,0.062,40,9.3,29,ND
Pennsylvania,Delaware County,42045,558979,ND,0,8,IN,0.062,ND,9.7,23,ND
Pennsylvania,Elk County,42047,31946,ND,ND,ND,ND,0.053,ND,ND,ND,ND
Pennsylvania,Erie County,42049,280566,1,ND,4,31,0.061,37,6.5,16,ND
Pennsylvania,Fayette County,42051,136606,ND,ND,3,15,0.06,ND,7.5,17,ND
Pennsylvania,Franklin County,42055,149618,ND,ND,ND,ND,0.05,ND,ND,ND,ND
Pennsylvania,Greene County,42059,38686,ND,ND,ND,ND,0.059,ND,6.5,14,ND
Pennsylvania,Indiana County,42063,88880,ND,ND,ND,ND,0.066,ND,IN,IN,20
Pennsylvania,Lackawanna County,42069,214437,1,ND,9,43,0.057,ND,6.9,19,ND
Pennsylvania,Lancaster County,42071,519445,ND,0.04,ND,ND,0.062,59,8.8,28,ND
Pennsylvania,Lawrence County,42073,91108,ND,0.02,ND,ND,0.06,ND,ND,ND,ND
Pennsylvania,Lebanon County,42075,133568,ND,ND,ND,ND,0.03,ND,IN,IN,ND
Pennsylvania,Lehigh County,42077,349497,ND,ND,ND,ND,0.063,34,IN,IN,ND
Pennsylvania,Luzerne County,42079,320918,ND,ND,ND,ND,0.054,37,IN,IN,3
Pennsylvania,Lycoming County,42081,116111,ND,ND,ND,ND,0.058,ND,7.3,19,ND
Pennsylvania,Mercer County,42085,116638,ND,ND,ND,ND,0.063,ND,7.4,18,ND
Pennsylvania,Monroe County,42089,169842,ND,ND,ND,ND,0.053,ND,IN,IN,ND
Pennsylvania,Montgomery County,42091,799874,ND,ND,ND,ND,0.066,ND,7.3,21,ND
Pennsylvania,Northampton County,42095,297735,ND,ND,8,37,0.06,ND,IN,IN,7
Pennsylvania,Perry County,42099,45969,ND,ND,ND,ND,ND,ND,IN,IN,ND
Pennsylvania,Philadelphia County,42101,1526006,2,ND,13,50,0.07,IN,8.2,25,5
Pennsylvania,Somerset County,42111,77742,ND,ND,ND,ND,0.056,ND,ND,ND,ND
Pennsylvania,Susquehanna County,42115,43356,ND,ND,ND,ND,ND,ND,6.1,14,ND
Pennsylvania,Tioga County,42117,41981,ND,ND,1,9,0.057,ND,6.1,14,ND
Pennsylvania,Warren County,42123,41815,ND,ND,ND,ND,ND,ND,ND,ND,47
Pennsylvania,Washington County,42125,207820,ND,ND,6,30,0.062,ND,7.2,17,8
Pennsylvania,Westmoreland County,42129,365169,ND,0,ND,ND,0.057,ND,7,16,ND
Pennsylvania,Wyoming County,42131,28276,ND,ND,ND,ND,ND,ND,6.6,17,ND
Pennsylvania,York County,42133,434972,ND,ND,7,39,0.058,ND,9.3,26,6
Rhode Island,Kent County,44003,166158,ND,ND,ND,ND,0.065,ND,4.6,10,ND
Rhode Island,Providence County,44007,626667,2,ND,15,45,0.064,30,8.3,20,1
Rhode Island,Washington County,44009,126979,ND,ND,ND,ND,0.067,ND,4,11,ND
South Carolina,Aiken County,45003,160099,ND,ND,ND,ND,0.051,ND,IN,IN,ND
South Carolina,Anderson County,45007,187126,ND,ND,ND,ND,0.056,ND,ND,ND,ND
South Carolina,Beaufort County,45013,162233,ND,ND,ND,ND,ND,ND,IN,IN,ND
South Carolina,Berkeley County,45015,177843,ND,ND,ND,ND,0.051,ND,IN,IN,ND
South Carolina,Charleston County,45019,350209,ND,ND,6,30,0.053,45,7.1,16,2
South Carolina,Chesterfield County,45025,46734,ND,ND,ND,ND,0.056,ND,6.6,14,ND
South Carolina,Colleton County,45029,38892,ND,ND,ND,ND,ND,ND,IN,IN,ND
South Carolina,Darlington County,45031,68681,ND,ND,ND,ND,0.052,ND,ND,ND,ND
South Carolina,Edgefield County,45037,26985,ND,ND,ND,ND,0.054,ND,6.7,17,ND
South Carolina,Florence County,45041,136885,ND,0.15,ND,ND,ND,ND,6.7,15,ND
South Carolina,Georgetown County,45043,60158,ND,ND,ND,ND,ND,ND,IN,IN,ND
South Carolina,Greenville County,45045,451225,ND,ND,6,33,0.059,48,7.5,20,1
South Carolina,Greenwood County,45047,69661,ND,ND,ND,ND,ND,ND,IN,IN,ND
South Carolina,Horry County,45051,269291,ND,ND,ND,ND,0.052,ND,IN,IN,ND
South Carolina,Lexington County,45063,262391,ND,ND,ND,ND,ND,42,7.1,17,IN
South Carolina,Oconee County,45073,74273,ND,ND,ND,ND,ND,ND,IN,IN,IN
South Carolina,Orangeburg County,45075,92501,ND,ND,ND,ND,ND,ND,IN,IN,ND
South Carolina,Richland County,45079,384504,0,ND,3,IN,0.055,ND,6.7,16,2
South Carolina,Spartanburg County,45083,284307,ND,ND,ND,ND,0.064,ND,8,17,ND
South Carolina,York County,45091,226073,ND,ND,ND,ND,0.054,ND,6.6,15,2
South Dakota,Brookings County,46011,31965,ND,ND,ND,ND,0.064,95,4.4,16,ND
South Dakota,Brown County,46013,36531,ND,ND,ND,ND,ND,75,5.6,15,ND
South Dakota,Codington County,46029,27227,ND,ND,ND,ND,0.057,129,6.7,16,ND
South Dakota,Custer County,46033,8216,ND,ND,ND,ND,0.063,55,3.3,16,ND
South Dakota,Hughes County,46065,17022,ND,ND,ND,ND,ND,ND,4,13,ND
South Dakota,Jackson County,46071,3031,ND,ND,1,4,0.061,43,4.2,17,1
South Dakota,Meade County,46093,25434,ND,ND,ND,ND,0.062,63,IN,IN,ND
South Dakota,Minnehaha County,46099,169468,1,ND,4,31,0.064,71,6,16,4
South Dakota,Pennington County,46103,100948,ND,ND,5,34,ND,124,6.8,23,IN
South Dakota,Union County,46127,14399,ND,ND,2,22,0.063,88,6.1,17,2
Tennessee,Anderson County,47001,75129,ND,ND,ND,ND,0.056,ND,ND,ND,ND
Tennessee,Blount County,47009,123010,0,ND,1,5,0.058,ND,6.6,15,1
Tennessee,Claiborne County,47025,32213,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Tennessee,Davidson County,47037,626681,1,ND,12,45,0.061,58,8.8,20,2
Tennessee,DeKalb County,47041,18723,ND,ND,ND,ND,0.055,ND,ND,ND,ND
Tennessee,Dyer County,47045,38335,ND,ND,ND,ND,ND,ND,6.2,15,ND
Tennessee,Hamilton County,47065,336463,ND,ND,ND,ND,0.058,ND,8.3,20,ND
Tennessee,Jefferson County,47089,51407,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Tennessee,Knox County,47093,432226,ND,0.04,ND,ND,0.053,45,8.3,20,ND
Tennessee,Lawrence County,47099,41869,ND,ND,ND,ND,ND,ND,5.3,14,ND
Tennessee,Loudon County,47105,48556,ND,ND,ND,ND,0.059,ND,6.3,14,ND
Tennessee,McMinn County,47107,52266,ND,ND,ND,ND,ND,ND,6.8,16,ND
Tennessee,Madison County,47113,98294,ND,ND,ND,ND,ND,ND,6.3,16,ND
Tennessee,Maury County,47119,80956,ND,ND,ND,ND,ND,ND,5.7,14,ND
Tennessee,Montgomery County,47125,172331,ND,ND,ND,ND,ND,ND,6.8,15,ND
Tennessee,Putnam County,47141,72321,ND,ND,ND,ND,ND,ND,6.1,14,ND
Tennessee,Roane County,47145,54181,ND,ND,ND,ND,ND,ND,6.7,15,ND
Tennessee,Sevier County,47155,89889,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Tennessee,Shelby County,47157,927644,1,ND,10,33,0.062,64,9.1,20,2
Tennessee,Sullivan County,47163,156823,ND,0,ND,ND,0.056,ND,5.8,13,73
Tennessee,Sumner County,47165,160645,ND,ND,ND,ND,0.063,ND,6.9,15,ND
Tennessee,Williamson County,47187,183182,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Tennessee,Wilson County,47189,113993,ND,ND,ND,ND,0.058,ND,ND,ND,ND
Texas,Atascosa County,48013,44911,ND,ND,ND,ND,ND,ND,IN,IN,ND
Texas,Bell County,48027,310235,ND,ND,3,23,0.064,ND,7.8,21,ND
Texas,Bexar County,48029,1714773,1,ND,8,34,0.074,80,8.6,23,6
